label_id,frame_idx,timestamp_s,x1,y1,x2,y2,area,category,object_index,json_path
0,0,0.0,300.0,224.0,340.0,256.0,1280.0,synthetic_car,0,synthetic/0000.json
1,1,0.1,298.9745780724795,223.17966245798362,341.0254219275205,256.8203375420164,1414.6187751368293,synthetic_car,0,synthetic/0001.json
2,2,0.2,297.896581638487,222.31726531078965,342.103418361513,257.68273468921035,1563.3955304450176,synthetic_car,0,synthetic/0002.json
3,3,0.30000000000000004,296.7633151454343,221.41065211634748,343.2366848545657,258.5893478836525,1727.8192736972837,synthetic_car,0,synthetic/0003.json
4,4,0.4,295.5719448367966,220.45755586943727,344.4280551632034,259.5424441305627,1909.535612980826,synthetic_car,0,synthetic/0004.json
5,5,0.5,294.3194916662452,219.45559333299613,345.6805083337548,260.54440666700384,2110.363226496164,synthetic_car,0,synthetic/0005.json
6,6,0.6000000000000001,293.0028238484799,218.40225907878394,346.9971761515201,261.59774092121603,2332.312064499852,synthetic_car,0,synthetic/0006.json
7,7,0.7000000000000001,291.6186490281349,217.29491922250787,348.3813509718651,262.7050807774921,2577.60346556221,synthetic_car,0,synthetic/0007.json
8,8,0.8,290.16350604717456,216.13080483773967,349.83649395282544,263.8691951622603,2848.6923884703588,synthetic_car,0,synthetic/0008.json
9,9,0.9,288.63375629019663,214.9070050321573,351.36624370980337,265.0929949678427,3148.291982280896,synthetic_car,0,synthetic/0009.json
10,10,1.0,287.02557458599745,213.62045966879793,352.97442541400255,266.37954033120207,3479.4007404275785,synthetic_car,0,synthetic/0010.json
11,11,1.1,285.3349396426521,212.26795171412166,354.6650603573479,267.7320482858783,3845.3325106514344,synthetic_car,0,synthetic/0011.json
12,12,1.2000000000000002,283.5576239921898,210.84609919375185,356.4423760078102,269.15390080624815,4249.749661102782,synthetic_car,0,synthetic/0012.json
13,13,1.3,281.6891834197221,209.35134673577767,358.3108165802779,270.64865326422233,4696.699734552633,synthetic_car,0,synthetic/0013.json
14,14,1.4000000000000001,279.7249458505905,207.77995668047237,360.2750541494095,272.22004331952763,5190.655957561185,synthetic_car,0,synthetic/0014.json
15,15,1.5,277.6599996677465,206.1279997341972,362.3400003322535,273.8720002658028,5736.562010032723,synthetic_car,0,synthetic/0015.json
16,16,1.6,275.48918143015067,204.39134514412052,364.51081856984933,275.6086548558795,6339.881503225748,synthetic_car,0,synthetic/0016.json
17,17,1.7000000000000002,273.2070629614802,202.56565036918414,366.7929370385198,277.43434963081586,7006.652661410817,synthetic_car,0,synthetic/0017.json
